Activities,,,,,,,,,,Sleep,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2022-02-28,"1,804","5,295",3.9,16,237,148,15,5,762,2022-02-28 10:39 PM,2022-03-01 6:08 AM,415,34,19,449,99,217,99
2022-03-01,"2,542","4,847",3.57,11,761,230,0,0,899,2022-03-01 11:45 PM,2022-03-02 7:24 AM,402,57,22,459,102,209,91
2022-03-02,"2,289","3,220",2.37,16,819,162,0,0,598,2022-03-02 10:36 PM,2022-03-03 7:16 AM,478,42,24,520,135,253,90
2022-03-03,"2,298","3,330",2.45,12,760,160,0,0,614,2022-03-03 11:54 PM,2022-03-04 6:49 AM,373,42,16,415,101,193,79
2022-03-04,"2,991","9,400",6.93,20,649,376,0,0,"1,523",2022-03-05 12:43 AM,2022-03-05 8:06 AM,375,68,25,443,108,195,72
2022-03-05,"2,766","11,282",8.31,13,695,292,7,3,"1,309",2022-03-05 9:32 PM,2022-03-06 7:22 AM,531,59,30,590,138,283,110
2022-03-06,"2,792","8,780",6.47,28,519,331,0,0,"1,359",2022-03-06 11:25 PM,2022-03-07 7:01 AM,414,42,24,456,113,220,81
2022-03-07,"2,317","3,905",2.88,14,814,170,0,0,645,2022-03-07 10:51 PM,2022-03-08 7:09 AM,445,53,24,498,134,226,85
2022-03-08,"2,165","2,636",1.94,8,816,126,0,0,467,2022-03-08 10:53 PM,2022-03-09 6:00 AM,387,39,28,426,102,225,60
2022-03-09,"3,331","11,304",8.33,15,608,319,78,9,"1,948",2022-03-09 8:24 PM,2022-03-10 6:44 AM,551,69,36,620,123,332,96
2022-03-10,"2,282","2,316",1.71,12,685,135,0,0,496,2022-03-10 11:39 PM,2022-03-11 6:29 AM,348,62,15,410,73,210,65
2022-03-11,"2,536","5,913",4.33,7,802,215,8,5,928,2022-03-12 3:23 AM,2022-03-12 8:53 AM,307,23,19,330,91,149,67
2022-03-12,"2,484","5,961",4.38,26,881,229,0,0,919,2022-03-13 3:43 AM,2022-03-13 11:06 AM,389,54,26,443,109,214,66
2022-03-13,"2,174","2,602",1.92,4,852,145,0,0,517,2022-03-13 9:56 PM,2022-03-14 6:39 AM,490,33,22,523,168,241,81
2022-03-14,"2,177","1,963",1.45,9,813,104,0,0,403,2022-03-14 10:47 PM,2022-03-15 6:25 AM,414,44,17,458,101,226,87
2022-03-15,"2,795","7,940",5.85,15,701,273,8,0,"1,203",2022-03-15 10:48 PM,2022-03-16 5:51 AM,382,41,21,423,119,188,75
2022-03-16,"2,204","2,748",2.03,6,860,157,0,0,547,2022-03-16 10:06 PM,2022-03-17 6:13 AM,440,47,26,487,137,209,94
2022-03-17,"2,257","3,255",2.4,9,797,156,0,0,576,2022-03-17 10:23 PM,2022-03-18 6:20 AM,402,75,25,477,86,232,84
2022-03-18,"2,949","9,619",7.09,17,628,317,16,2,"1,468",2022-03-18 11:45 PM,2022-03-19 7:50 AM,437,47,27,484,127,224,86
2022-03-19,"2,992","12,392",9.11,33,639,228,71,18,"1,545",2022-03-20 12:40 AM,2022-03-20 9:54 AM,442,45,27,487,140,212,90
2022-03-20,"2,192","2,852",2.1,11,818,135,0,0,500,2022-03-21 12:13 AM,2022-03-21 8:04 AM,425,46,27,471,114,246,65
2022-03-21,"2,369","3,591",2.65,9,776,193,0,0,734,2022-03-21 9:48 PM,2022-03-22 5:58 AM,446,44,25,490,117,230,99
2022-03-22,"2,180","2,630",1.94,10,811,139,0,0,501,2022-03-22 9:36 PM,2022-03-23 6:03 AM,450,57,28,507,121,236,93
2022-03-23,"3,656","13,982",10.3,34,437,417,68,11,"2,347",2022-03-23 11:37 PM,2022-03-24 6:33 AM,348,68,21,416,91,187,70
2022-03-24,"2,118","2,396",1.77,10,897,127,0,0,454,2022-03-24 10:31 PM,2022-03-25 4:51 AM,356,24,15,380,92,212,52
2022-03-25,"2,820","8,209",6.05,46,808,207,18,27,"1,183",2022-03-26 2:20 AM,2022-03-26 10:11 AM,426,45,24,471,153,192,81
2022-03-26,"2,484","4,857",3.58,12,765,167,34,3,886,2022-03-26 10:14 PM,2022-03-27 8:25 AM,550,61,35,611,138,317,95
2022-03-27,"2,342","3,443",2.54,11,680,123,20,6,661,2022-03-27 8:10 PM,2022-03-28 4:20 AM,425,65,27,490,113,251,61
2022-03-28,"2,526","5,092",3.75,16,703,247,0,0,935,2022-03-28 10:09 PM,2022-03-29 5:59 AM,420,50,26,470,99,245,76
2022-03-29,"3,874","11,527",8.47,29,466,314,159,31,"2,622",2022-03-29 10:14 PM,2022-03-30 6:13 AM,424,55,28,479,112,224,88
2022-03-30,"2,315","3,228",2.38,12,797,164,0,0,600,2022-03-30 11:26 PM,2022-03-31 8:14 AM,482,46,23,528,159,214,109
2022-03-31,"2,530","4,569",3.37,16,688,224,0,0,911,2022-03-31 11:16 PM,2022-04-01 7:28 AM,430,62,26,492,118,223,89
2022-04-01,"2,357","3,555",2.62,14,769,179,0,0,671,2022-04-02 12:09 AM,2022-04-02 6:59 AM,374,36,27,410,117,196,61
2022-04-02,"2,974","11,245",8.29,48,720,260,19,31,"1,477",2022-04-02 11:18 PM,2022-04-03 9:34 AM,497,59,34,556,154,237,106
2022-04-03,"2,742","9,454",6.97,46,672,155,23,34,"1,091",2022-04-04 12:35 AM,2022-04-04 7:11 AM,347,49,26,396,75,206,66
2022-04-04,"2,179","1,634",1.2,5,945,99,0,0,363,2022-04-04 10:35 PM,2022-04-05 6:00 AM,407,38,18,445,126,201,80
2022-04-05,"2,307","2,578",1.9,8,853,142,0,0,526,2022-04-05 10:50 PM,2022-04-06 6:35 AM,402,62,21,464,87,235,80
2022-04-06,"2,694","7,491",5.52,26,762,193,18,3,"1,047",2022-04-06 10:57 PM,2022-04-07 7:05 AM,431,56,28,487,135,201,95
2022-04-07,"2,193","2,560",1.89,5,810,143,0,0,515,2022-04-07 10:47 PM,2022-04-08 5:56 AM,372,57,24,429,92,182,98
2022-04-08,"3,168","12,831",9.46,17,601,396,11,3,"1,767",2022-04-08 11:18 PM,2022-04-09 7:59 AM,477,44,40,521,153,221,103
2022-04-09,"2,307","5,007",3.69,16,739,168,5,7,707,2022-04-09 11:20 PM,2022-04-10 8:05 AM,460,64,34,524,130,241,89
2022-04-10,"2,336","3,804",2.8,11,738,178,0,0,691,2022-04-10 11:50 PM,2022-04-11 6:48 AM,371,47,20,418,77,195,99
2022-04-11,"2,126","2,476",1.82,8,889,133,0,0,469,2022-04-11 10:37 PM,2022-04-12 5:59 AM,400,42,24,442,119,211,70
2022-04-12,"2,734","6,348",4.68,10,723,275,0,0,"1,119",2022-04-12 11:22 PM,2022-04-13 7:02 AM,408,52,28,460,145,179,84
2022-04-13,"2,573","5,290",3.9,20,734,246,0,0,961,2022-04-14 2:11 AM,2022-04-14 9:40 AM,400,48,30,448,100,215,85
2022-04-14,"2,205","3,314",2.44,17,859,133,0,0,512,2022-04-15 12:33 AM,2022-04-15 8:28 AM,407,68,28,475,120,202,85
2022-04-15,"2,390","4,046",2.98,12,789,176,0,0,696,2022-04-16 12:09 AM,2022-04-16 9:01 AM,476,56,25,532,139,254,83
