Activities,,,,,,,,,,Sleep,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2022-07-15,"2,422","7,369",5.43,35,855,93,20,31,735,2022-07-16 2:16 AM,2022-07-16 10:15 AM,406,73,18,479,67,278,61
2022-07-16,"2,300","4,722",3.48,27,779,182,0,0,716,2022-07-17 3:07 AM,2022-07-17 10:04 AM,379,38,23,417,137,151,91
2022-07-17,"2,542","9,740",7.18,59,830,138,22,33,970,2022-07-17 10:52 PM,2022-07-18 7:04 AM,432,60,28,492,90,268,74
2022-07-18,"3,098","18,104",13.34,29,637,177,52,82,"1,654",2022-07-19 12:02 AM,2022-07-19 7:13 AM,398,33,22,431,87,223,88
2022-07-19,"2,482","6,674",4.92,25,802,198,9,0,891,2022-07-19 8:37 PM,2022-07-20 6:08 AM,512,59,27,571,157,244,111
2022-07-20,"2,943","9,239",6.81,30,539,318,10,2,"1,429",2022-07-20 11:31 PM,2022-07-21 6:46 AM,365,70,20,435,57,236,72
2022-07-21,"2,106","2,232",1.64,10,896,109,0,0,393,2022-07-21 8:25 PM,2022-07-22 5:30 AM,493,52,27,545,172,226,95
2022-07-22,"2,370","3,576",2.64,23,724,171,0,0,663,2022-07-23 12:54 AM,2022-07-23 8:04 AM,371,59,22,430,65,247,59
2022-07-23,"2,398","4,791",3.53,14,836,174,0,0,726,2022-07-24 12:15 AM,2022-07-24 8:43 AM,440,68,25,508,116,277,47
2022-07-24,"2,937","11,290",8.32,65,683,158,52,39,"1,347",2022-07-25 12:32 AM,2022-07-25 7:16 AM,362,42,16,404,112,194,56
2022-07-25,"2,178","2,374",1.75,10,903,133,0,0,474,2022-07-25 11:08 PM,2022-07-26 6:28 AM,394,46,23,440,123,176,95
2022-07-26,"2,958","8,054",5.93,30,693,263,35,9,"1,402",2022-07-27 12:23 AM,2022-07-27 6:06 AM,300,43,15,343,65,176,59
2022-07-27,"2,693","6,418",4.73,24,863,234,0,0,"1,051",2022-07-27 10:24 PM,2022-07-28 6:56 AM,458,54,30,512,133,256,69
2022-07-28,"2,123","1,979",1.46,5,812,116,0,0,407,2022-07-28 10:41 PM,2022-07-29 7:10 AM,453,56,25,509,109,238,106
2022-07-29,"2,320","2,942",2.17,14,778,153,0,0,606,2022-07-29 10:25 PM,2022-07-30 6:18 AM,411,62,22,473,109,213,89
2022-07-30,"2,928","8,028",5.92,18,645,311,6,5,"1,348",2022-07-31 1:47 AM,2022-07-31 10:10 AM,442,61,23,503,129,228,85
2022-07-31,"2,311","4,151",3.06,20,783,146,6,2,628,,,,,,,,,
